""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"comparison"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"is_model"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"response_component_original"	"response_comp_cnt"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	""	""
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	""	""	""	""	""	"file"	"file"
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"background"	"background"	"background"	"reference"	"observed"	"observed"	"observed"	"observed"	"background"	"background"	"background"	"observed"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"	"observed"	"observed"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response component (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"baseline time"	"comparison"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"cohort"	"publication reference (PMID)"	"publication year"	"figure or table or text section containing signature"	"comments and additional details"	"gene signature is a model"	"Cole et al. (2017) Differential gene expression elicited by children in response to the 2015-16 live attenuated versus inactivated influenza vaccine. Vaccine PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=29132989' target='_blank'>29132989</a>"	"age group"	"min. age"	"max. age"	"age units"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"response component count"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"	"signature response component file"	"complete signature response component file"
""	"hipc_gene_29132989_1"	"2017.12"	"hipc_gene_29132989_1"	"blood"	"IL4"	"gene expression"	"down"	"none"	"7"	"days"	"time of vaccination (first dose)"	"7d-0d"	"2015"	"Fluzone; Fluarix (IIV)"	""	"children (3-17)"	"29132989"	"2017"	"Fig 1"	"IIV (inactivated influenza vaccine)"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"1"	"388"	"IL4"	"7"	"VO_0000047"	"VO_0000045"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"hipc_gene_sig_29132989_1.txt"	"hipc_gene_sig_complete_29132989_1.txt"
""	"hipc_gene_29132989_1"	"2017.12"	"hipc_gene_29132989_1"	"blood"	"CXCL8"	"gene expression"	"down"	"none"	"7"	"days"	"time of vaccination (first dose)"	"7d-0d"	"2015"	"Fluzone; Fluarix (IIV)"	""	"children (3-17)"	"29132989"	"2017"	"Fig 1"	"IIV (inactivated influenza vaccine)"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"1"	"388"	"IL8"	"7"	"VO_0000047"	"VO_0000045"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"hipc_gene_sig_29132989_1.txt"	"hipc_gene_sig_complete_29132989_1.txt"
""	"hipc_gene_29132989_1"	"2017.12"	"hipc_gene_29132989_1"	"blood"	"CCL2"	"gene expression"	"down"	"none"	"7"	"days"	"time of vaccination (first dose)"	"7d-0d"	"2015"	"Fluzone; Fluarix (IIV)"	""	"children (3-17)"	"29132989"	"2017"	"Fig 1"	"IIV (inactivated influenza vaccine)"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"1"	"388"	"CCL2"	"7"	"VO_0000047"	"VO_0000045"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"hipc_gene_sig_29132989_1.txt"	"hipc_gene_sig_complete_29132989_1.txt"
""	"hipc_gene_29132989_1"	"2017.12"	"hipc_gene_29132989_1"	"blood"	"IFNA1"	"gene expression"	"down"	"none"	"7"	"days"	"time of vaccination (first dose)"	"7d-0d"	"2015"	"Fluzone; Fluarix (IIV)"	""	"children (3-17)"	"29132989"	"2017"	"Fig 1"	"IIV (inactivated influenza vaccine)"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5711596/"	"children"	"3"	"17"	"years"	"1"	"388"	"IFNA1"	"7"	"VO_0000047"	"VO_0000045"	"influenza A virus (A/California/7/2009(H1N1))"	"h3N2 subtype"	"influenza B virus"	"hipc_gene_sig_29132989_1.txt"	"hipc_gene_sig_complete_29132989_1.txt"
