""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"
"subject"	""	""	""	"cell_subset"	"gene"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"
"evidence"	""	""	""	""	""	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"label"	"url"	"label"	"label"	"label"	""	""	""	""	""
"role"	""	""	""	"tissue"	"gene_biomarker"	"background"	"measured"	"background"	"observed"	"observed"	"background"	"background"	"background"	"background"	"background"	"observed"	"background"	"background"	"reference"	"background"	"background"	"background"	"vaccine"	"vaccine"	"pathogen"	"pathogen"	"pathogen"
"mime_type"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"numeric_units"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"display_text"	""	""	""	"tissue type"	"response agent (gene symbol)"	"response behavior type"	"response behavior"	"subgroup"	"time point"	"time point units"	"vaccine year (influenza only)"	"exposure material (name)"	"additional exposure material"	"comparison"	"baseline time"	"cohort"	"publication reference (PMID)"	"publication year"	"Cao et al. (2014) Differences in antibody responses between trivalent inactivated influenza vaccine and live attenuated influenza vaccine correlate with the kinetics and magnitude of interferon signaling in children. J. Infect. Dis. PMID: <a href = 'https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909' target='_blank'>24495909</a>"	"ID of observation within its submission"	"Uniq ID of observation within submission type"	"original gene symbol"	"exposure material 1 (VO)"	"exposure material 2 (VO)"	"target pathogen 1"	"target pathogen 2"	"target pathogen 3"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"OASL"	"gene expression"	"positively"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"correlated with H3N1 HI titer"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"13"	"261"	"OASL"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"IFIT1"	"gene expression"	"positively"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"correlated with H3N1 HI titer"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"13"	"261"	"IFIT1"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"IFIT3"	"gene expression"	"positively"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"correlated with H3N1 HI titer"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"13"	"261"	"IFIT3"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"
""	"20140822-hipciof_gene_corr_24495909"	"2014.08.22"	"hipciof_gene_corr_36"	"blood"	"IFI44L"	"gene expression"	"positively"	"none"	"1"	"Days"	"2010"	"Fluzone"	""	"correlated with H3N1 HI titer"	"time of vaccination (first dose)"	"children (0.5-14)"	"24495909"	"2014"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"13"	"261"	"IFI44L"	"VO_0000047"	"VO_0000044"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"
